metric,value
pair_count,4851
positive_pair_count,122
negative_pair_count,4729
verification_accuracy,0.975057
best_threshold,0.567929
auc,0.779465
tpr_at_best_threshold,0.040984
fpr_at_best_threshold,0.000846
