model,loss,accuracy,precision,recall,f1,fps,samples
MobileNetV2 + binary head,Binary cross-entropy,0.9931872037914692,0.9891540130151844,0.9941860465116279,0.9916636462486408,119.1220690805163,3376
EfficientNetB0 + binary head,Binary cross-entropy,0.9922985781990521,0.9884225759768451,0.9927325581395349,0.9905728788977519,103.51579310344135,3376
