model,loss,euc_auc,euc_acc,euc_f1,cos_auc,cos_acc,fps
Cont. ResNet18,Contrastive loss,0.8375027777777777,0.7708333333333334,0.7702589807852965,0.8375027777777777,0.7708333333333334,24.18634061377341
Cont. MobileNetV2,Contrastive loss,0.7739222222222222,0.7141666666666666,0.7490855888807608,0.773925,0.7141666666666666,27.189438237340532
Triplet ResNet18,Triplet loss,0.8880305555555555,0.8091666666666667,0.8044406490179334,0.8882611111111111,0.81,12.861811520167889
Triplet MobileNetV2,Triplet loss,0.779363888888889,0.7191666666666666,0.7310454908220272,0.7790888888888889,0.7183333333333334,33.05127485544442
