model,loss,auc,accuracy,f1,precision,recall,fps
MobileNetV2,Binary cross-entropy,0.9447,0.875,0.8756218905472637,0.8712871287128713,0.88,62.7363021630988
EfficientNetB0,Binary cross-entropy,0.9724,0.915,0.9128205128205128,0.9368421052631579,0.89,59.27340584583504
