epoch,train_loss,val_loss
1,0.181842,0.162485
2,0.111188,0.157885
3,0.082942,0.144082
4,0.056692,0.160815
5,0.053589,0.153512
6,0.053006,0.140392
7,0.039853,0.149101
8,0.036355,0.120546
9,0.031048,0.122106
10,0.031254,0.130555
11,0.026589,0.123534
12,0.027819,0.102491
13,0.021653,0.12903
14,0.018538,0.118932
15,0.020421,0.141527
